endpoint,numeroItem,codigo_pdm,descricao,unidade_medida,rotulo,codigo_br,medicamento,observacao
https://pncp.gov.br/api/pncp/v1/orgaos/46634473000141/compras/2024/118/itens,9,16000,BELIMUMABE 400MG - AMPOLA,AMPOLA,"PDM: 16000 - Belimumabe, Concentração*:400 MG, Forma Farmacêutica:Pó Liófilo P/ Injetável",427614.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/45176005000108/compras/2023/282/itens,1195279,5206,METFORMINA CLORIDRATO 500 MG,COM,"PDM: 5206 - Metformina Cloridrato, Dosagem:500 MG",267690.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/45781176000166/compras/2024/409/itens,7,18272,ARIPIPRAZOL 1MG CONTENDO 150 ML - MANDADO JUDICIAL,FRASCO,"PDM: 18272 - Aripiprazol, Concentração:1 MG/ML, Forma Farmacêutica:Suspensão Oral",472780.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/76978881000181/compras/2024/109/itens,1468636,2259,Álcool etílico 70% 1 litro Frasco 1litro  Álcool etílico 70% 1 litro Frasco 1litro,FRASC,,,Em dúvida,Falta a forma de apresentação
https://pncp.gov.br/api/pncp/v1/orgaos/07954480000179/compras/2023/858/itens,4,8254,"ESCOPOLAMINA BUTILBROMETO + DIPIRONA, 4MG/ML + 500MG/ML, SOLUCAO INJETAVEL, AMPOLA 5ML, UNIDADE 1.0 AMPOLA",UNIDADE 1.0 AMPOLA ,"PDM: 8254 - Escopolamina Butilbrometo, Apresentação:Associada Com Dipirona Sódica, Dosagem:4mg + 500mg/Ml, Indicação:Solução Injetável",270621.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/45358249000101/compras/2024/1484/itens,8,17813,LEVODOPA 100MG + BENSERAZIDA 25MG - BD - COMPRIMIDOS,COMP,"PDM: 17813 - Levodopa, Composição:Associado À Benserazida, Concentração:100mg + 25 MG",433280.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/87958625000149/compras/2024/102/itens,2,4730,CEFTAZIDIMA 1 G - INJETAVEL.,am,"PDM: 4730 - Ceftazidima, Concentração:1 G, Forma Farmaceutica:Pó P/ Solução Injetável",442694.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/46634168000150/compras/2024/85/itens,1,13187,USTEQUINUMABE 5MG/ML – SOLUÇÃO INJETÁVEL – FRASCO 26 ML,FRS,"PDM: 13187 - Ustequinumabe, Concentração:5 MG/ML, Forma Farmacêutica:Solução Injetável",455395.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/45323474000102/compras/2024/101/itens,8,30049,"FÓRMULA INFANTIL COM PROTEÍNA EXTENSAMENTE HIDROLISADA E COM RESTRIÇÃO DE LACTOSE: XAROPE DE GLICOSE, PROTEÍNA HIDROLISADA DE SORO DE LEITE, TRIGLICERÍDEOS DE CADEIA MÉDIA, ÓLEOS VEGETAIS (COLZA, GIRASSOL, PALMA), FOSFATO TRICÁLCICO, FOSFATO DIHIDROGENADO DE PÓTASSIO, CLORETO DE POTÁSSIO, CARBONATO DE CÁLCIO, ÓLEO DE PEIXE, ÓLEO DE FUNGOS, CLORETO DE COLINA, VITAMINA C, CLORETO DE SÓDIO, CLORETO DE MAGNÉSIO, TAURINA, INOSITOL, SULFATO FERROSO, VITAMINA E, SULFATO DE ZINCO, L-CARNITINA, URIDINA, CITIDINA, ADENOSINA, INOSINA, NIACINA, D-PANTOTENATO DE CÁLCIO, GUANOSINA, D, BIOTINA, SULFATO DE COBRE, ÁCIDO FÓLICO, SULFATO DE MANGANÊS, VITAMINA A, B2, B12, B1, D, B6, IODETO DE POTÁSSIO, VITAMINA K, SELENITO DE SÓDIO, EMULSIFICANTE MONO E DIGLICERÍDEOS DE ÁCIDOS GRAXOS. NÃO CONTÉM GLÚTEN. EMBALAGEM: LATA 800 GRAMAS. MARCA SUGERIDA: APTAMIL PEPTI",LATA,,,Não,
https://pncp.gov.br/api/pncp/v1/orgaos/46523072000114/compras/2024/15/itens,3,13470,"PÃO TIPO HOT DOG INTEGRAL, RICO EM VITAMINAS E MINERAIS COM 50 (CINQUENTA) GRAMAS CADA, LIVRE DE GORDURAS TRANS. 

Pão de hot dog enriquecido com vitamina e minerais, obtido por processamento tecnológico adequado, da

massa preparada com os seguintes ingredientes: Farinha de trigo enriquecida com ferro e ácido fólico, Farinha Integral, Farinha de soja, açúcar refinado, sal refinado, gordura vegetal, ovo em pó, água, propionato de cálcio, fermento biológico, melhoradores de farinha (amido de milho, estabilizante estearoil-2-lactil lactato de cálcio, polisorbato 80, carbonato de cálcio e ácido ascórbico), emulsificante polisorbato 80, leite, complexo de

vitaminas: A, B1, B2, B3, B6, D e minerais: ferro, zinco, cálcio e manganês. Contém glúten. Embalagem Primária / Secundária / Peso unidade / Validade; A embalagem primária do produto deverá ser em sacos de polipropileno, transparente, atóxico, com capacidade para 20 unidades de 50 gramas cada. E embalagem secundária deverá ser em caixas de papelão reforçada, com abas superiores e inferiores totalmente vedadas, com fita adesiva plastificada, lacrado, contendo 100 unidades de pães, peso líquido total de 5 kg. Validade mínima do produto: 8 (oito) dias. Entregas semanais com no máximo 2 (dois) dias de fabricação. Características físico-químicos de composição (porção de 50 gramas): - Físico Químico: Gorduras Trans: <= 0,01, VCT (Kcal/50g): 140,00 á 160,00,

Carboidratos: 26 á 32 g, Proteínas: 4,5 á 6 g, Lipídeos: 1,5 á 2,5 g, Fibra 1 á 2 g, - Vitaminas e Minerais: Vit. A 80 à 100 mcg, Vit. B1 0,20 à 0,35mg, Vit. B2 0,1 à 0,30mg, Vit. B3 2,00 à 2,90 mg, Vit. B6 0,15 à 0,32mg, Vit. D 0,40 à 0,80 mcg, Ferro 1,30 à 4,30mg, Zinco 1,25 à 1,85 mg, Cálcio 40 à 70 mg, Manganês 0,20 à 0,8 mg, Sódio 190,00 à

250,00 mg. INTEGRAL. ALÉRGICOS: CONTÉM OVOS, LEITE E GLUTÉN.",Unidade,,,Não,
https://pncp.gov.br/api/pncp/v1/orgaos/11439826000178/compras/2024/4/itens,4475101,14456,ACEBROFILINA 50MG/5ML ADULTO SOLUÇÃO ORAL 120ML,FR,"PDM: 14456 - Acebrofilina, Concentração:10 MG/ML, Forma Farmaceutica:Xarope",448839.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/46634440000100/compras/2024/1104/itens,1406600,13680,CLORIDRATO DE AMANTADINA 100 MG COM CT BL AL PLAS,UN,"PDM: 13680 - Amantadina, Concentração:100 MG",268079.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/45739083000173/compras/2024/218/itens,1,2595,TESTE RÁPIDO PARA DETECÇÃO DE ANTÍGENO DO VÍRUS SARS-COV 2 (COVID-19) - SWAB NASAL PARA DETECÇÃO DE ANTÍGENO VIRAL COM ESPECIFICIDADE E SENSIBILIDADE MAIOR QUE 96%,UND,,,Não,
https://pncp.gov.br/api/pncp/v1/orgaos/08924581000160/compras/2024/31/itens,2,2032,"Ácido Tranexâmico 50mg/mL, Ampola 5mL",UNID,"PDM: 2032 - Ácido Tranexâmico, Dosagem:50 MG/ML, Forma Farmacêutica:Solução Injetável",327566.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/01614158000114/compras/2022/15/itens,10,5275,Clorpromazina 5mg/mL 5mL solucao injetavel,Ampola,"PDM: 5275 - Clorpromazina, Dosagem:5 MG/ML, Apresentação:Solução Injetável",268069.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/08868515000110/compras/2024/7/itens,6,5130,"Ambroxol xarope 15 mg / 5 ml, Fr 100mL",Unidade,"PDM: 5130 - Ambroxol, Composição:Sal Cloridrato, Concentração:3 MG/ML, Forma Farmacêutica:Xarope",446264.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/01572597000101/compras/2024/134/itens,2,10776,PIROXICAM 20MG+SUCUPRIMA250 MG+CURCUMA 50MG+UCI 40MG+VIT K2MK7 50MCG,FR,,,Em dúvida,Item não está no CATMAT
https://pncp.gov.br/api/pncp/v1/orgaos/13168687000110/compras/2024/62/itens,3,1253,"BETAMETASONA, DIPROPIONATO - CONCENTRACAO/DOSAGEM 4 MG/ML 1ML,FORMA FARMACEUTICA SOLUÇÃO INJETAVEL.,FORMA DE APRESENTACAO SOL INJ.,VIA DE ADMINISTRACAO INJETAVEL.",UNIDADE,,,Em dúvida,Dosagem não existe no CATMAT
https://pncp.gov.br/api/pncp/v1/orgaos/08810350000125/compras/2024/4/itens,7,19111,"Creme composto de 10% de ureia e 4% de AHA, sem fragrância ou conservante, indicado para tratamento de rachaduras ou ressecamento de pele em pé diabético. Embalagem com 75ml.",Unidade,,,Em dúvida,Composiçao não existe no CATMAT
https://pncp.gov.br/api/pncp/v1/orgaos/47970769000104/compras/2024/13/itens,6,4509,CARBAMAZEPINA 100MG/5ML SUSP.ORAL - FR. 100 ML (CARBAMAZEPINA 100MG/5ML XAROPE FRASCO COM 100ML + COPO DOSADOR),Frasco,,,Em dúvida,Descrição ambígua
https://pncp.gov.br/api/pncp/v1/orgaos/63762041000135/compras/2024/43/itens,4301638,14456,ACEBROFILINA 5 MG/ML SOLUÇÃO ORAL FRASCO C/ 120 ML,FSC,"PDM: 14456 - Acebrofilina, Concentração:5 MG/ML, Forma Farmaceutica:Gel Oral",460664.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/07954605000160/compras/2024/368/itens,28057,4509,"CARBAMAZEPINA 200MG, COMPRIMIDO. ()",COMPRIMIDO (COMP),"PDM: 4509 - Carbamazepina, Dosagem:200 MG",267618.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/01603719000180/compras/2024/38/itens,4,7878,"FUROSEMIDA 20 MG/2ML INJETAVEL COD. BR 267666  


  


",AMPOLA,"PDM: 7878 - Furosemida, Composição:10 Mg/Ml, Apresentação:Solução Injetável",267666.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/46634259000195/compras/2024/45/itens,5,354,"ÁCIDO FÓLICO 0,2 MG/ML - SOLUÇÃO ORAL",FRC,"PDM: 354 - Ácido Fólico, Dosagem:0,2 MG/ML, Uso:Solução Oral - Gotas",278489.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/67995027000132/compras/2024/153/itens,1,12314,SULFADIAZINA 500MG - CONFORME MEMORIAL DESCRITIVO,Comprimido,"PDM: 12314 - Sulfadiazina, Dosagem:500 MG",267765.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/80673411000187/compras/2023/178/itens,1,6143,"Antinflamatorios esteroides Dexametasona - 0,1 mg/ml - elixir",Frasco,"PDM: 6143 - Dexametasona, Dosagem:0,1 MG/ML, Apresentação:Elixir",268243.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/11944899000117/compras/2024/19/itens,4,9699,"(3150070) - METILPREDNISOLONA, SUCCINATO SODICO - CONCENTRACAO/DOSAGEM 125 MG,FORMA FARMACEUTICA PO LIOFILIZADO PARA SOLUCAO INJETAVEL,FORMA DE APRESENTACAO FRASCO-AMPOLA,VIA DE ADMINISTRACAO PARENTERAL",FA,"PDM: 9699 - Metilprednisolona, Princípio Ativo:Sal Succinato, Dosagem:125 MG, Apresentação:Pó Liofilizado + Diluente, Injetável",271600.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/00394544000185/compras/2022/163/itens,1,15458,Diluente De Vacina,Mililitro,,,Não,
https://pncp.gov.br/api/pncp/v1/orgaos/46523247000193/compras/2024/102/itens,1435050,5118,CLORETO DE SÓDIO A 20% AMPOLA 10ML S.INJ -,AMP,"PDM: 5118 - Cloreto De Sódio, Dosagem:20%, Uso:Solução Injetável",267574.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/11285282000137/compras/2024/22/itens,5,3567,BIPERIDENO CI  2MG - COMPRIMIDO,UN,"PDM: 3567 - Biperideno, Dosagem:2 MG",270140.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/24855058000185/compras/2022/107/itens,1,10094,NISTATINA CREME VAGINAL 50G+10APL C/50 UNIDADES,CX,,,Em dúvida,Falta a concentração
https://pncp.gov.br/api/pncp/v1/orgaos/88860366000181/compras/2024/65/itens,8,365,BENZILPENICILINA BENZATINA 1.200.000 U - FRASCO - AMPOLA - PÓ PARA SUSPENSÃO,Frasco,"PDM: 365 - Benzilpenicilina, Apresentação:Benzatina, Dosagem:1.200.000ui, Uso:Injetável",270612.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/01612269000191/compras/2024/15/itens,2,1824,ACETILCISTEÍNA 40 MG C/ 120 ML,FRASCO,"PDM: 1824 - Acetilcisteína, Concentraçao:40 MG/ML, Forma Farmaceutica:Xarope",355786.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/75793786000140/compras/2024/83/itens,4,1253,"BETAMETASONA, COMPOSIÇÃO:ACETATO, APRESENTAÇÃO:ASSOCIADA COM BETAMETASONA FOSFATO, DOSAGEM:3MG + 3MG/ML, USO:INJETÁVEL. AMPOLA 1ML - BR 0270597",Unidade,"PDM: 1253 - Betametasona, Composição:Acetato, Apresentação:Associada Com Betametasona Fosfato, Dosagem:3mg + 3mg/Ml, Uso:Injetável",270597.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/88775390000112/compras/2024/375/itens,2,7178,"ESTRADIOL, APRESENTAÇÃO:VALERATO ASSOCIADO COM NORETISTERONA ENANTATO, DOSAGEM:5MG + 50MG/1ML, USO:INJETÁVEL.",FRASCO (FR),"PDM: 7178 - Estradiol, Apresentação:Valerato Associado Com Noretisterona Enantato, Dosagem:5mg + 50mg/1ml, Uso:Injetável",270846.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/46523239000147/compras/2024/43/itens,2,8248,HIDROXIUREIA 500MG.,COMPRIMIDO,"PDM: 8248 - Hidroxiuréia, Dosagem:500 Mg",268110.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/76205806000188/compras/2024/77/itens,3,1824,Acetilcisteina 100 mgl solucao injetavel  ampola com 3 ml,AMP,"PDM: 1824 - Acetilcisteína, Dosagem:100 MG/ML, Forma Farmacêutica:Solução Injetável",335091.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/46374500000194/compras/2024/4181/itens,1,4726,Cefotaxima Sódica,Frasco-Ampola,,,Em dúvida,Falta a concentração
https://pncp.gov.br/api/pncp/v1/orgaos/00562279000105/compras/2023/17/itens,7,350,"Descrição CATMAT:

ALBENDAZOL, DOSAGEM:400 MG",COMP,"PDM: 350 - Albendazol, Dosagem:400 MG",267506.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/55293427000117/compras/2024/64/itens,8,1289,"Bebida Láctea UHT sabor Chocolate 200 ml. Ingredientes: Soro de leite reconstituído, leite integral reconstituído, calda de cacau (água e cacau), leite desnatado reconstituído, açúcar, extrato de malte de cevada, fosfato tricálcico, vitaminas [maltodextrina, ácido l-ascórbico (vitamina C), acetato de retinila (vitamina A) e ácido fólico (vitamina B9)], vitamina D3, espessantes: carboximetilcelulose sódica, goma xantana, goma gelana e carragena, aromatizantes, estabilizantes: fosfato dipotássico e citrato de sódio. Deverão apresentar o prazo de validade mínimo de 06 (seis) meses na data da entrega. Cada embalagem deverá apresentar peso líquido de 200 ml",Pacote,,,Não,
https://pncp.gov.br/api/pncp/v1/orgaos/88254875000160/compras/2024/9/itens,6,5400,"SERVIÇO FUNERÁRIO URNA ZINCADA (tamanho conforme a necessidade) - incluindo o fornecimento de uma urna mortuária de zinco sem visor, com 6 alças duras, 4 chavetas, acabamento em verniz, hermeticamente fechada de acordo com as normas de saúde vigentes. Preparação do corpo e câmara ardente. Translado dentro da região do Vale dos Sinos, Taquara e Porto Alegre. Velório junto às Capelas Mortuárias Municipais de Novo Hamburgo.",UNIDADE (UN),,,Não,
https://pncp.gov.br/api/pncp/v1/orgaos/07954480000179/compras/2024/9973/itens,5,7662,"VERNIZ, FLUORETADO PARA APLICACOES TOPICAS, CONTENDO 5 % DE FLUORETO DE SODIO EM UMA BASE ADESIVA DE RESINAS NATURAIS, KIT 01 FRASCO 10 ML DE VERNIZ COM FLUOR E 01 FRASCO 10 ML DE SOLVENTE, KIT 1.0 UNIDADE",KIT 1.0 UNIDADE,,,Não,
https://pncp.gov.br/api/pncp/v1/orgaos/46599809000182/compras/2024/150/itens,4,18239,"Refil CarbonBlock5? para filtro de água; encaixe de 26mm sem rosca e com vedação; dimensões: 145mm de comprimento e 70mm de diâmetro externo; com tripla filtração; composto de elemento filtrante com carvão ativado compactado natural (CarbonBlock), prata coloidal de efeito bacteriostático e duas camadas de polipropileno; eficiência de retenção de partículas classe III e retenção de cloro livre classe I; produzido com componentes 100% atóxicos; produto certificado pelo INMETRO, constando o mesmo na embalagem; garantia mínima de 6 meses a partir da abertura da embalagem; 1ª linha.",UND,,,Não,
https://pncp.gov.br/api/pncp/v1/orgaos/45146271000198/compras/2024/11/itens,3,6143,Dexametasona 200 mg 100ml,FRA,"PDM: 6143 - Dexametasona, Concentração:2 Mg/Ml, Forma Farmacêutica:Solução Injetável",300733.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/08109444000171/compras/2024/18/itens,1,2420,Amiodarona 100MG,COMPRIMIDO,"PDM: 2420 - Amiodarona, Dosagem:100mg",271709.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/76970367000108/compras/2024/84/itens,2,14671,"BR0391134 ADESIVO FOTOPOLIMERIZÁVEL, COM 5,6 ML (6G) - BR0391134 ADESIVO FOTOPOLIMERIZÁVEL, COM 5,6 ML (6G), COMPOSTO DE ETANOL, BIS-GMA, SILANO TRATADO COM FILLER DE SÍLICA, 2-HIDROXIETILMETACRILATO, GLICEROL 1, 3 DIMETRACRILATO, COPOLÍMERO DE ÁCIDO ACRÍLICO E ÁCIDO ITACÔNICO E DIURETANODIMETACRILATO",Unidade,,,Não,
https://pncp.gov.br/api/pncp/v1/orgaos/46200846000176/compras/2024/2407/itens,3,1385,"SILIMARINA 70 MG, DL-METIONINA 100 MG",DRG,"PDM: 1385 - Silimarina, Apresentação:Associada Com Metionina, Dosagem:70mg + 100mg",276456.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/18025999000199/compras/2024/77/itens,5,5056,bromidrato de citalopram 20mg,comprimido,"PDM: 5056 - Citalopram, Dosagem:20 MG",272903.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/08788903000190/compras/2024/6/itens,1,14456,Acebrofilina 25 mg/5ml (Xarope infantil),Frasco,"PDM: 14456 - Acebrofilina, Concentração:5 MG/ML, Forma Farmaceutica:Xarope",448838.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/15023120000181/compras/2024/2/itens,7,2259,"ALCOOL ETILICO - COM TEOR ALCOOLICO DE 70 GL, HIDRATADO, LIQUIDO - FRASCO 1 LITRO",FRASCO,"PDM: 2259 - Álcool Etílico, Tipo:Hidratado, Teor Alcoólico:70%_(70°Gl), Apresentação:Líquido",269941.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/00394502000144/compras/2023/11193/itens,1,12768,"Tiossulfato de sódio aspecto físico: cristal incolor ou branco, inodoro, fórmula química: na2s2o3.5h2o, peso molecular: 248,18, grau de pureza: pureza mínima de 99,5%, característica adicional: reagente p.a., número de referência química: cas 10102-17-7",Quilograma,,,Em dúvida,Falta a concentração
https://pncp.gov.br/api/pncp/v1/orgaos/00394502000144/compras/2022/4583/itens,4,8322,Óleo de silicone,Frasco 250 ML,,,Em dúvida,Falta a viscosidade
https://pncp.gov.br/api/pncp/v1/orgaos/18428839000190/compras/2024/222/itens,6,16344,"BOTA DE UNNA; BANDAGEM INELÁSTICA IMPREGNADA COM PASTA À BASE DE ÓXIDO DE ZINCO, GOMA ACÁCIA, GLICEROL, ÓLEO DE RÍCINO E ÁGUA DEIONIZADA. ROLO DE, APROXIMADAMENTE, 7,6 CM DE LARGURA X 9,14 M DE COMPRIMENTO.",UN,,,Não,
https://pncp.gov.br/api/pncp/v1/orgaos/14126692000123/compras/2024/34/itens,4472621,2032,ACIDO TRANEXÂMICO 250MG,CP,"PDM: 2032 - Ácido Tranexâmico, Dosagem:250 MG",278338.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/11924138000101/compras/2024/269/itens,1,5092,ANIDULAFUNGINA 100MG PÓ LIOFILIZADO PARA SOLUÇÃO PARA INFUSÃO INTRAVENOSA-,FRASCO,"PDM: 5092 - Anidulafungina, Concentração:100 MG, Forma Farmacêutica:Pó Liófilo P/ Injetável",379002.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/23467889000117/compras/2022/1/itens,2,5400,"MEDALHA - PARA PREMIACAO: Medalha para premiação, com diâmetro de 8cm com 44mm, fundida em liga metálica de zamak (zinco, alumínio, magnésio e cobre). com fita de cetim largura de 15mm. COM PRATA",UND,,,Não,
https://pncp.gov.br/api/pncp/v1/orgaos/20718770000181/compras/2024/2/itens,4,17689,QUETIAPINA 100MG CX 30,UN,"PDM: 17689 - Quetiapina, Dosagem:100 MG",272832.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/01612691000147/compras/2024/4/itens,5,4509,CARBAMAZEPINA 2% C/ 100 ML,Unidade,,,Em dúvida,Falta a forma de apresentação
https://pncp.gov.br/api/pncp/v1/orgaos/80888688000127/compras/2024/11/itens,1,14456,"BR0448838 ACEBROFILINA, CONCENTRAÇÃO:5 MG/ML, FORMA FARMACEUTICA:XAROPE FRASCO DE 120 ML",FRASCO,"PDM: 14456 - Acebrofilina, Concentração:5 MG/ML, Forma Farmaceutica:Xarope",448838.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/42498600000171/compras/2024/4192/itens,5,18934,"DESCRICAO QUIMICA: PERMANGANATO DE POTASSIO , PUREZA: PARA ANALISE, FORMULA MOLECULAR: KMNO4, ASPECTO: SOLIDO, APLICACAO: REAGENTE DE LABORATORIO",FR,,,Em dúvida,Falta a concentração
https://pncp.gov.br/api/pncp/v1/orgaos/46634481000198/compras/2024/52/itens,1,19654,DUPILUMABE 300MG  150MG ML  SOLUCAO INJETAVEL SERINGA PREENCHIDA COM 2ML,UNIDADE,"PDM: 19654 - Dupilumabe, Concentração:150 MG/ML, Forma Farmacêutica:Solução Injetável, Adicional:Seringa Preenchida",455337.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/22678874000135/compras/2023/412/itens,6,8428,INSULINA HUMALOG KWIKPEN  CANETA 3ML    437777,UNIDADE,,,Em dúvida,Falta o tipo
https://pncp.gov.br/api/pncp/v1/orgaos/37622164000160/compras/2022/8/itens,4,8428,INSULINA NOVO RAPID FLEXPEN AMP 3 ML,AP,,,Em dúvida,Falta o tipo
